time,text,mode,size,color,user,dmid,likes
912.826,刘备:心动100%,5,25,16777215,21c84a86,37958329506988039,0
2382.065,关羽“你没戴口罩！”,5,25,16707842,26a8edba,34495194869530629,0
2573.859,老爷爷内心：好不容易来了个人美心善的还要走嘤嘤嘤,5,25,16707842,580a86ac,43953315539582979,0
1300.471,眼泪战术，皇叔最常用技能之一,5,25,38979,1c16eb4,37871723348492293,0
1517.988,俺也一样❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗,5,25,41194,d44c1c5f,34343502938636293,0
1554.874,刘备为了给两个兄弟报仇倾全国之力讨伐孙吴，最终饮恨白帝城，其中相差不到5年,5,25,16765698,be429cd1,33971337169993731,0
1010.341,绿豆：爱还是会消失的，对吗？,5,25,38979,d3cdd1cd,45271496027275267,0
210.392,分酒必喝，喝酒必疯,5,25,16777215,d3a6f510,1108829814699277056,0
1504.239,俺给一样～,5,25,16707842,bc8162b3,34988296823636035,0
2277.354,我清我自己,5,25,16646914,2527b17a,35079620496195591,0
744.314,确认过眼神，我遇上了爱的人,5,25,16707842,9101a796,35438270509744133,0
454.182,史上最著名的个体户,5,25,16776960,fbc8c967,983500341611175936,0
2526.486,飞飞要打人，二爷直接要杀人了hhhh,5,25,14811775,c2b87476,43140050202918917,0
935.466,刘备发动技能：一龙分二虎（冷却时间100年）,5,25,16777215,76d5cf8a,49068135429439493,0
316.068,PDD（PD帝）,5,25,16776960,f06c9c13,37480783463579655,0
417.639,此时，孔明刚刚三岁,5,25,16777215,c7efde8a,53721953489059328,0
932.754,分 手 大 师,5,25,16777215,51c26c4b,34592352123224069,0
1377.046,飞飞：误入传销组织，人财两空,1,25,16777215,947c5dbc,34436797516218371,0
1331.68,刘备：我如今二十有八 连个老婆都没有啊,5,25,16646914,c63de3ec,35293691583660099,0
1236.903,刘备：别急，你让我想想该怎么忽悠,5,25,16707842,1f44ad64,49072555722539013,0
154.28,欧尼墙（bushi）,5,25,16707842,cfa1d396,37416531495223299,0
2518.166,备备内心：来早了来早了,5,25,15772458,580a86ac,43953209640222725,0
1703.444,史上最猛铁匠，随手打出三把SSR武器,1,25,16777215,12c710db,38861930183524355,0
2419.737,刘备的意思是：等他出城了再打，结果张飞急了,1,25,16777215,e729ecac,38519078081003527,0
1734.333,曹老板怎么也想不到刘备是这样抽到ssr的,5,25,41194,d6b0b43d,42140140295946243,0
1552.761,刘备：还是我活的最长,5,25,15138834,8e56ccc9,34834888655372293,0
2366.739,《暴 打 一 顿》,5,25,15138834,337b66aa,37601481411002373,0
1555.36,黄忠：不求同年同月同日生，但  赵云：别说了,5,25,16707842,ac45b1cd,36960559652405253,0
1169.711,历   史   唯   物   主   义,5,25,16707842,2bd9b89d,34529544311930885,0
289.17,东汉的皇帝大多数都很年轻，或者说很短命,5,25,16777215,50e2b91c,1109249088232286976,0
644.323,刘备：这是个好机会啊，我要把它拐来当弟弟,5,25,16707842,600d50ed,40275803415511045,0
928.891,二爷：嘤嘤嘤,5,25,15138834,79abd4f6,46113313454555139,0
266.994,林黛玉倒拔垂杨柳，武大郎火烧博望坡，诸葛亮三打白骨精，孙悟空今大观园（都是名场面啊doge）,5,25,15138834,da389bbe,34288248090525699,0
1926.932,三国演义原著就有救董卓，因为董卓轻视，飞飞操刀要把董卓沙了。,5,25,16707842,5a365bd0,58232823564546048,0
2401.689,去吧，记得戴口罩,5,25,16776960,4c551cae,34490511686893575,0
986.575,而且磨盘压井其实是为了广撒网找几个自己认可的人，也算很有心计,5,25,9033215,6db63d33,42949644010389511,0
1708.149,此时亮亮小奶音：老师，何谓天下？,5,25,6830715,ffefc5cf,966540503700578304,0
1508.413,《俺  也  一  样》,5,25,15138834,d05296be,45132899208921095,0
1048.423,好嘛，飞飞你直接抱着酒坛子 了  哈哈哈哈哈哈,5,25,15138834,f202b7b9,37685474900836359,0
879.872,隐藏剧情：五虎上将从现在就开始抢排名了,5,25,16707842,9101a796,35438401798799367,0
1846.661,任务目标:保护我方董卓,5,25,15138834,5033b763,36325905903648773,0
800.601,这里张飞眼睛一转，估计在想怎么找机会和他打架呢,5,25,15772458,71a45421,34084096679346183,0
2102.034,楼 桑 村 的 大 树 也 挺 凉 快 的,5,25,41194,ea2efbb4,36614924257460231,0
852.119,飞飞:我是来认亲的,5,25,41194,12e0ef0d,48969080287789063,0
272.311,这时候猴哥已经被压在五行山了呜呜呜呜,1,25,16777215,3b01bdfb,48747592973549573,0
1227.239,刘备：我们仨组队，排位上王者,5,25,16777215,14a0be91,38590445548732423,0
494.274,《看  不  懂》,5,25,16707842,69aa3532,37733893432934405,0
505.278,刘备：你懂个der！,5,25,16646914,4bbf1ca5,48298734982791175,0
1240.091,“他为你俩报仇时可一点没犹豫过”，哭了,5,25,8700107,4b923826,51366913970274311,0
1920.182,他们都只是农民，我们只想吃饱饭，甚至只想吃上饭,5,25,16646914,7ea50705,991408083712835584,0
925.439,飞飞没有心理活动，笑死,5,25,41194,938f57b3,1053078002251983872,0
1101.672,真·张三,5,25,15138834,851f9c19,34824539231748101,0
922.879,主 公 连 结,5,25,14811775,db9331d4,33985308902031365,0
512.774,电   音   鼓   点,5,25,15138834,befab9e1,43859331590914051,0
934.417,刘 备 的 力 气 成 谜,5,25,16776960,56e6398,35382634374758403,0
1047.894,这个细节 刘备没有说自己哪来的,5,25,16646914,3929bf3a,34396298863968261,0
884.094,咱国的围观是从老祖宗开始就刻在DNA里了,5,25,15138834,6f246601,34031164636266503,0
1272.323,飞飞公主太好笑了哈哈哈哈哈,5,25,41194,a334480,40336702725685253,0
1506.485,《俺也一样！》,5,25,16646914,eec106fa,44269192195604483,0
1353.124,小 丑 竟 是 我 自 己,5,25,13369971,547b7fb1,44228033083604997,0
1359.647,刘备：学好传销，你就能空手套白狼，张飞给钱，关羽卖力！,1,25,16776960,2cd1f3f3,41688157982818311,0
214.254,汾酒必喝 喝酒必汾,5,25,16707842,f131eeba,1085561283459167232,0
449.291,此时一位卖草鞋的靓仔路过,5,25,16740868,9be8927b,33977604138074119,0
671.886,我    们     的    肉(突然苏),5,25,16707842,b5952e65,37188638488395781,0
1527.725,关羽：这厮为何学我   张飞：俺也一样,5,25,15138834,67ea3cee,35698546201067525,0
1639.639,三人桃园结义，然后保着唐僧上西天,5,25,16777215,d23dd32d,54116180579938816,0
1364.304,让  俺  老  张  怎  么  淦,5,25,16646914,14d40d97,36619908916707335,0
76.053,注意昭烈帝是随着“英雄”两个字出场的,5,25,14811775,b874e7f3,34304701270327299,0
963.616,打不过就说好话的飞飞是屑,5,25,9033215,c21acc12,986277128629911552,0
943.878,刘备：老子这辈子的力气都用这了！！,1,25,16777215,f2804372,38330425706807299,0
1446.716,前方全文背诵并默写,5,25,16707842,40848b2a,43047329974976519,0
1737.813,已完成第一章“梦的开始”：桃园三结义.完成奖励：+3传奇神奇.+好几个炮灰,5,25,16646914,bb1dc416,36389830685884419,0
1567.613,刘欢：想不到吧又双叒叕是我,5,25,16777215,1c95f0d1,36056000894074885,0
190.7,贾宝玉上梁山与孙悟空挑园结义,5,25,15138834,bc4f13a8,44494214671106053,0
1564.264,牢 不 可 破 的 联 盟,5,25,16646914,5e948eb5,42592923899920391,0
1742.525,曹老板怎么也想不到刘备是这样抽到ssr的,5,25,41194,d6b0b43d,42140145533583365,0
1489.235,俺也一样（猛男色）,5,25,14811775,e59fd12f,34004727739449347,0
377.769,建议改成:《黄 巾 之 风》,5,25,16707842,49541190,37117504015302659,0
2384.629,hhhhhhhhhhh，一家三口既视感，严父慈母小飞飞,1,25,16777215,b0214f57,34116077139001351,0
2759.937,陆树铭老师，李靖飞老师，一路走好,5,25,16777215,305c1526,1193754754116061696,0
1427.64,全服通告：玩家-「刘备」 获得SSR武将-「关羽」,5,25,16707842,bbde438c,36346471950319619,0
1394.948,刘氏祖传第十八代诈骗术,5,25,16776960,b96739cd,35551580546662405,0
938.142,主  公  连  结,5,25,9033215,14bca2ce,34011647738118151,0
2490.871,的确，史料记载，此时的刘备曹操是一路人，脾气都不小，但这是演义嘛,5,25,15772458,d014ed1a,1118971167378766080,0
1688.379,《隐藏在新手村的神级工匠》,1,25,16777215,671918d,1062770405758007808,0
931.839,您好，您的好友分手大师已上线,1,25,15138834,7763f663,38409391802679299,0
914.082,翻译： 两个SSR血赚,1,25,16776960,c7710758,37699992772149251,0
940.122,主   公   连   接,5,25,13369971,34031962,34031420777693189,0
1242.042,刘备：此处东200里有个叫水泊梁山的去处,1,25,16777215,a137bbac,35507276734267395,0
113.213,往事越千年，魏武挥鞭，东临碣石有遗篇,5,25,16707842,9e31e2d3,39381420834029573,0
2186.845,《微词》,5,25,16646914,925ac5f4,39179461715820547,0
954.029,主  公  连  结,5,25,16707842,97618c73,35743505837457411,0
923.629,张飞：任何邪恶终将绳之以法,5,25,16707842,565cf2ab,1226895926048753664,0
1016.899,讲个剧外小故事：当年拍三国，刘关张的演员去村里偷玉米吃被农户发现了,5,25,104601,43fa480c,34106090293035015,0
927.205,眼睛瞪得像铜铃~,5,25,2236962,890eb747,34350689777352711,0
201.724,第一集 高俅发迹,5,25,16707842,fd450f9b,1143545113956628224,0
662.247,知道中国人喜欢看热闹的原因了吧（doge ）,5,25,9487136,2d0de9a7,56619188473624064,0
614.507,龙王：我殿里有枚定海神针，你若拿得动便拿去吧,5,25,16777215,5dbc007c,41911647907348483,0
490.312,《俺们仨》,5,25,16776960,d4e58fbb,36653124703748103,0
169.217,张飞：没错我叫俺也一样,1,25,16777215,f92d5e3c,35520513044381703,0
1058.179,哈哈哈二爷这里没坐稳崴了一下，还特意捋胡子缓解尴尬，好可爱啊！！！,5,25,52480,b75230fe,1033120051290734080,0
1389.948,刘备：上钩了上钩了,5,25,16707842,e58098a0,37343825262280709,0
1798.685,黄巾贼：出门遇到10张ssr打我，这游戏能玩？？？,5,25,16776960,bbfb2af8,35149509006721027,0
1232.294,张飞：老子给你个痛快！蜀亡,5,25,16707842,212b0f76,34549135649538053,0
899.564,刘备：等他们都残血了就扔精灵球,5,25,16707842,78388de9,1190926352434818048,0
562.508,云长去矣！悲乎哀哉！！！陆树铭老师走好,5,25,38979,cec7894,1176085721501622528,0
176.914,陆树铭（关羽扮演者）老师，一路走好,5,25,16777215,4729e681,1176067073424539904,0
217.936,关二爷扮演者去世了,5,25,15138834,4bcd604c,1176020035035181312,0
16.039,陆树铭老师，一路走好,5,25,16777215,164bd703,1175999353970555136,0
139.418,20221101，陆老师一路走好，二爷千古,5,25,38979,bff1d7c4,1175985124785784832,0
2117.375,三国志明确写了刘备是皇室后裔，曹操孙权也没质疑过这事儿，现在大聪明倒是多了,5,25,16707842,293133de,1148223079340865536,0
1116.722,刘备：你们俩都身高九尺，七尺是说我呢？,5,25,16777215,9fbacd0a,1124109566863276544,0
2343.23,阿斗：那你们有没有被摔在地上呢？,5,25,16707842,fcb9b8c0,1116498319229788672,0
1002.365,我怎么没听说过关公管天气预报的啊（不是）,5,25,16776960,6930dc38,1108620756847401984,0
978.039,飞飞：这不是打不过嘛,5,25,16776960,6930dc38,1108620284333887744,0
968.225,其实飞飞心里想：可恶，要不是我打不过这两个，我今天非要把他的豆儿全磨了,5,25,16776960,6930dc38,1108619945174061056,0
1410.635,需一千万（华佗笑道）,5,25,16776960,3a8343b4,1108116848584666368,0
1047.983,飞飞最后一次坐主位 哈哈哈,5,25,15138834,4a1d63ad,1105562966515822848,0
2367.951,《 报 答 一 顿 》,5,25,16776960,f3cd934d,1103481965614530048,0
758.49,刘氏救国集团早期办公室,5,25,16776960,6930dc38,1100599795883549184,0
738.789,关羽：他不捡钱，可以啊，等会我要收他做小弟,5,25,16776960,6930dc38,1100599243460204288,0
589.035,关羽：什么爽文剧情,5,25,16776960,6930dc38,1100596581486488576,0
816.566,要十斤绿豆，细细捏做臊子,5,25,38979,33eed214,1099765634801340160,0
2373.528,关羽：你怎么就不能学学我直接灭口,5,25,16777215,19a4dede,1099239338140645120,0
1173.439,翻译：还是给我打工吧,5,25,16707842,89432259,1092647546763048448,0
1032.151,平生最爱斩颜良,5,25,15772458,1883abdc,1092601169756333312,0
855.471,街坊邻居：捡绸子咯~上好的绸子，捡些吧？,5,25,16776960,1e9e2611,1092568041105057792,0
2390.86,《出去揍揍》,5,25,15138834,72970292,1090472895576269568,0
806.266,您的好友【磨豆机】上线,5,25,52480,194dd142,1087851194128395008,0
506.989,备备：我叹口气关你屁事,5,25,14811775,4d8c30,1084326765289080832,0
995.789,二爷啊，你这一生对得起兄弟对得起江山，但你对得起你的绿豆吗！！！,5,25,52480,1d6940b3,1068608310225232640,0
830.409,关羽：（思索片刻）.....上好的豆粉，买一些吧,5,25,15138834,f1d27e83,1065295091729433344,0
1288.256,刘备：那就是我传出去的,1,25,16776960,86736b15,1052134578543872256,0
1339.237,28岁，在古时候已经算是中老年人了，寿命都不长,5,25,41194,20c5eb3f,37150168380866563,0
1339.043,把这段翻译成人话：老子想创业可惜没钱,1,25,16777215,a354517c,35873365123661829,0
1383.501,哈哈哈哈哈哈哈飞飞公主太好拐了,5,25,16707842,62fa52c4,35388582987300869,0
1563.426,刘备关羽之手皆成粉状，全剧终,5,25,16777215,f1afc37a,1068262903486061824,0
25.223,《西游记》过来+1,5,25,16646914,c110041e,1252325127409084672,0
1772.079,这是184年，诸葛亮生于181年，才三岁,5,25,16707842,e14d1df4,1245587611708382464,0
1930.341,我们无路可退！因为身后就是莫斯科！,5,25,15138834,d91698f,1278600183881760256,0
1368.14,给忽悠瘸了,1,25,16777215,64aebdd8,1313180300553241344,0
1535.908,一直觉得张飞和二哥亲一些,1,25,16777215,69c880b0,1313177921476888064,0
1477.62,欧皇刘备是这样的,1,25,16777215,69c880b0,1313177347956182528,0
1406.71,刘备真厉害,1,25,16777215,69c880b0,1313176413053947392,0
1395.458,轮到二哥尴尬了,1,25,16777215,69c880b0,1313176208799929600,0
