time,text,mode,size,color,user
912.82600,刘备:心动100%,5,25,16777215,21c84a86
2382.06500,关羽“你没戴口罩！”,5,25,16707842,26a8edba
2573.85900,老爷爷内心：好不容易来了个人美心善的还要走嘤嘤嘤,5,25,16707842,580a86ac
1300.47100,眼泪战术，皇叔最常用技能之一,5,25,38979,1c16eb4
1517.98800,俺也一样❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗❗,5,25,41194,d44c1c5f
1554.87400,刘备为了给两个兄弟报仇倾全国之力讨伐孙吴，最终饮恨白帝城，其中相差不到5年,5,25,16765698,be429cd1
1010.34100,绿豆：爱还是会消失的，对吗？,5,25,38979,d3cdd1cd
210.39200,分酒必喝，喝酒必疯,5,25,16777215,d3a6f510
1504.23900,俺给一样～,5,25,16707842,bc8162b3
2277.35400,我清我自己,5,25,16646914,2527b17a
744.31400,确认过眼神，我遇上了爱的人,5,25,16707842,9101a796
454.18200,史上最著名的个体户,5,25,16776960,fbc8c967
2526.48600,飞飞要打人，二爷直接要杀人了hhhh,5,25,14811775,c2b87476
935.46600,刘备发动技能：一龙分二虎（冷却时间100年）,5,25,16777215,76d5cf8a
316.06800,PDD（PD帝）,5,25,16776960,f06c9c13
417.63900,此时，孔明刚刚三岁,5,25,16777215,c7efde8a
932.75400,分 手 大 师,5,25,16777215,51c26c4b
1377.04600,飞飞：误入传销组织，人财两空,1,25,16777215,947c5dbc
1331.68000,刘备：我如今二十有八 连个老婆都没有啊,5,25,16646914,c63de3ec
1236.90300,刘备：别急，你让我想想该怎么忽悠,5,25,16707842,1f44ad64
154.28000,欧尼墙（bushi）,5,25,16707842,cfa1d396
2518.16600,备备内心：来早了来早了,5,25,15772458,580a86ac
1703.44400,史上最猛铁匠，随手打出三把SSR武器,1,25,16777215,12c710db
2419.73700,刘备的意思是：等他出城了再打，结果张飞急了,1,25,16777215,e729ecac
1734.33300,曹老板怎么也想不到刘备是这样抽到ssr的,5,25,41194,d6b0b43d
1552.76100,刘备：还是我活的最长,5,25,15138834,8e56ccc9
2366.73900,《暴 打 一 顿》,5,25,15138834,337b66aa
1555.36000,黄忠：不求同年同月同日生，但  赵云：别说了,5,25,16707842,ac45b1cd
1169.71100,历   史   唯   物   主   义,5,25,16707842,2bd9b89d
289.17000,东汉的皇帝大多数都很年轻，或者说很短命,5,25,16777215,50e2b91c
644.32300,刘备：这是个好机会啊，我要把它拐来当弟弟,5,25,16707842,600d50ed
928.89100,二爷：嘤嘤嘤,5,25,15138834,79abd4f6
