time,text,mode,size,color,user,likes
2432.548,西  安  事  变,5,25,15138834,8cb728be,0
326.748,金  正  蒽,5,25,16707842,d9ac15e0,0
1926.194,史上首位指点过孔明的人,5,25,16777215,6fda7266,0
1250.525,企业文化真好啊，小兵也敢在丞相面前表现情绪,5,25,16777215,b71d5e92,0
633.688,大王，那东土大唐来的唐僧要路过咱们狮驼岭,5,25,16707842,d0414791,0
969.234,你们4个人摆pose给亮亮看是什么意思哈哈,5,25,14811775,51f920f0,0
1794.596,“一夫有死，皆亮之罪”,5,25,16777215,69c0cf72,0
640.421,一听大王就出戏，仿佛来到《西游记》！,5,25,16646914,f9aa50d9,0
2168.681,三国最帅的年轻小哥，明明是洪宇宙的袁绍,5,25,16777215,69a06fa9,0
206.006,坤哥！坤哥你怎么了坤哥,5,25,14811775,5a55a5f4,0
426.001,这个人是真的担心丞相，历史记载他活着的时候诸葛亮没有南征,5,25,15138834,156c06d8,0
2497.189,猛将如（赵）云,5,25,16707842,11b493f9,0
2466.002,董荼那阿会喃：你认真的？？,5,25,16707842,11b493f9,0
2255.34,《孟本初》,5,25,16707842,11b493f9,0
1697.359,《派对浪客孟获》,5,25,16707842,11b493f9,0
310.311,生子当如孙仲谋是跟刘禅比的吧,5,25,16707842,11b493f9,0
2483.706,孟获:我立一军令状(,5,25,16777215,e2eee6cf,0
2292.948,董荼那:孟获此人要我三日内取马岱首级，我受丞相之恩怎可如此？不如我俩先下手为强！,5,25,15138834,49172c10,0
1138.234,抡锤的时候最忌讳喊停，容易腰间盘突出啊,5,25,15138834,dd67a24e,0
410.159,《自知之明》,5,25,16707842,236cac00,0
1874.268,亮子哥这种大美女 是我我也星夜去投,5,25,16776960,96c422b3,0
1809.15,亮亮：待我做法,5,25,16776960,96c422b3,0
2019.437,谁想看丞相脱？（丞相是神祥瑞御免,5,25,16777215,63c03b85,0
959.406,丞相建立的蜀币-蜀锦体系相当于现在布雷顿森林货币体系美元-石油的原型,5,25,16707842,63c03b85,0
460.931,他其实是在担心丞相身体弱受不了南方恶劣环境,5,25,16707842,63c03b85,0
1186.236,诸葛亮:正好用你头顶的羽毛再做把扇子,5,25,15138834,e33452e1,0
834.222,《  企  业  文  化  》,5,25,16646914,af216d5b,0
1816.661,是西凉马腾,5,25,52480,c93380a7,0
2387.915,诸葛亮：谢谢理解,5,25,16707842,2885310b,0
2331.575,还知道曹操 孙权 这信息流通挺快啊,5,25,16707842,2885310b,0
1823.166,孟获：平北将军来我南方作甚,5,25,16776960,1b000b29,0
232.706,可惜了，现在的永昌郡有半数都位于境外，唉,5,25,16646914,92c608df,0
1298.941,当年丞相离开，南蛮百姓不舍，丞相随手指着一种不开花的草说：“等它开花，我就回来了”,5,25,16707842,8cbfeaa3,0
2546.801,孟获=萌货,5,25,16707842,8f3d2234,0
2057.511,大王，那毛脸雷公嘴的和尚又打来了,5,25,9487136,d36fd523,0
1932.031,哈哈哈哈指点过诸葛孔明的人出现了,5,25,9487136,d36fd523,0
1633.234,《虎    力    大    仙》,5,25,16707842,9ebbb817,0
1305.754,众将：你再说一遍谁擒的？,5,25,9487136,d36fd523,0
869.579,诸葛亮每次想的都是刘备，不然他撑不下去,5,25,9487136,d36fd523,0
477.069,玛德这个阿斗太气人了，一点心疼丞相的意识都没有,5,25,9487136,d36fd523,0
196.666,我去，又当导演又当摄影，还是水平最高的，难怪水浒给他拍,5,25,16707842,d36fd523,0
177.679,没有刘备了，进入第四部，哎,5,25,8700107,d36fd523,0
2490.27,丞相也是没办法，南蛮这块也就孟获能管的住,5,25,16776960,f52f482e,0
1567.719,注：诸葛亮没扎联营,5,25,16777215,f6b0aca9,0
917.894,金环三结在天上看着你们呐!,5,25,16707842,cdb0d1c7,0
2477.047,《绝不食言》,5,25,16646914,a5490f9e,0
875.828,陈琳:箭在弦上，不得不发,5,25,16707842,893b485f,0
1083.621,砍了孟获可收获一枚巨型羽毛球,5,25,16777215,766cfb64,0
546.039,准备封孟获为七擒王,5,25,16777215,e1b3a9cc,0
370.301,李严：“感觉人生已经到达了巅峰”,5,25,16777215,a299fd35,0
2237.785,此刻应该大笑,5,25,9487136,1bf8a47d,0
523.438,阿斗日记：家长不在的第一天，我与宫娥练瑜伽好累。,1,25,16707842,c616ebe3,0
982.448,丞相178，后面武将还高出半个头，得多高啊,5,25,9033215,2f3ff5b2,0
1493.336,亮：泉水挂机就有用了吗,5,25,16777215,70412def,0
1173.551,孟获的帽子可以给丞相补把扇子,5,25,15138834,151d8a5f,0
1226.18,诸葛亮：我擦，怎么抓来个董卓，宰了吧,5,25,15772458,478ba55c,0
1676.447,《  三  国  演  义  之 猴  王  出  世》,5,25,16776960,70b417e4,0
391.466,马超继承了他父亲的传统，活在台词里,1,25,16707842,39b735aa,0
2361.728,张飞：这我熟,5,25,16777215,6ac8d617,0
712.021,橘    子    演    义,5,25,16777215,6ac8d617,0
647.412,画风突然西游记,5,25,16777215,6ac8d617,0
1428.905,你俩还乐，在原作里，孟获回来把你们宴诛了,5,25,16777215,940712a7,0
1748.634,《水 是 剧 毒 的》,5,25,38979,4e66c15d,0
2377.916,张飞：好熟悉，真让人摸不着头脑,5,25,16707842,24888553,0
2038.676,刘阿斗：学好数理化，不如有个好霸霸,5,25,16707842,53b87f7f,0
1149.757,注意这里俘虏没穿鞋子，后来丞相放走他们的时候穿了鞋子,5,25,16777215,309fe697,0
894.386,金环三结：误会？？？,5,25,15138834,1c9a2c8d,0
845.919,金环三结：那凭什么我就被杀了,5,25,15138834,1c9a2c8d,0
2174.039,不是，我是路过的客商，复姓皇甫,1,25,16777215,d6ba631f,0
1291.668,此处诸葛亮所用为标志重捕法,5,25,41194,3556026f,0
1895.39,马岱:你这么一说我觉得我好像已经没了,5,25,16707842,4176b2a5,0
2532.413,兵将：就你不服,5,25,15138834,f48ccb92,0
1281.566,此后，孟获和小兵不打不相识，结成生死之交（doge）,5,25,15138834,f48ccb92,0
254.596,哎，想当年刘备在时哪让亮亮跪这么久啊,5,25,15138834,f4a7cbe9,0
554.906,亮亮打仗真的猛的一批 整个南方几百万公里几个月光速平定,5,25,16707842,63c03b85,0
434.187,我怀疑亮亮就是南征时候生病的 之后身体越来越不好,5,25,16707842,63c03b85,0
485.991,王朗快乐曲,5,25,16776960,ba975739,0
857.698,卧槽他每次说我主的时候，我都在想他说的是刘备还是阿斗,5,25,41194,80fdb788,0
1209.682,孟获：我是过往客商 复姓皇甫,5,25,15138834,8ab44cec,0
1966.761,礼貌人，跟丞相道别也没忘了其他人,5,25,9487136,e9728917,0
1403.977,大王你还有脸回来啊！！,5,25,16646914,8fd7d757,0
1536.623,倘若南兵用火攻，我军如何防守？,5,25,16707842,6ed3658f,0
618.274,安 敢 在 此 饶 蛇,5,25,38979,ac6f2216,0
1166.098,记住这个被孟获拿石头砸头的兵，后面各种报复孟获哈哈。,5,25,16707842,e6dce9af,0
283.239,这才是小胖经典皮肤，之前是限定皮,5,25,16707842,531f998c,0
683.879,马谡：珍惜这段我和丞相之间还没有姜维的日子,5,25,41194,d2b31842,0
345.802,没想到还是个爸宝男,5,25,16777215,ab17164a,0
1905.796,《等下看美女》,5,25,16776960,96c422b3,0
1636.121,《三国与西游降魔篇》,5,25,16707842,f02bba7e,0
2476.936,唉，七擒七纵说的精彩，但有多少无辜将士死于涂炭,1,25,16707842,1d085aff,0
1794.788,这儿被剪了，原来有一个漏pg出来的doge,5,25,16707842,1f9a61af,0
2051.711,好像看看黄月英什么模样啊！丞相夫人啊好羡慕,1,25,15138834,521b9a8b,0
1516.205,用岩浆浇黑曜石呀！,5,25,2236962,ae155ab5,0
2084.069,看三国还要说一下自己的性别有意思吗,5,25,16707842,ec2475e4,0
1975.025,诸葛亮化学严重偏科,1,25,16777215,36294dc3,0
183.633,SKT七擒RNG,5,25,16646914,6bb21c9f,0
2126.247,马岱马岱，马上die,5,25,16765698,7a0a67d8,0
585.562,孟获就靠一个地利，不足为惧,5,25,16776960,4c84207b,0
1735.204,我是云南的~,5,25,16776960,e27c845,0
579.78,赵云7-0-0,1,25,16777215,5fd8186f,0
1189.691,原来是蔡瑁！！我说怎么这么眼熟！！,5,25,16776960,ae27cf42,0
963.623,金环三结尸骨未寒，尔等不思报仇雪恨，竟也通敌,1,25,16777215,c494fe75,0
2057.917,历史系文学系都是女生更多 凭什么不能看三国演义,5,25,16777215,2d0d40a2,0
338.102,刘禅当个守成之君还行，而此时蜀汉还没有完成创业，属于是小材大用了,5,25,15138834,53666791,0
1376.679,刘氏足力健一人一发一双,1,25,16777215,15b8b801,0
542.737,丞相真好看,5,25,16707842,b8a98388,0
1383.133,《栓Q》,5,25,15138834,6637ed5,0
1826.231,这小兵居然认识汉字!,1,25,16777215,4c23aefe,0
669.743,七擒王孟获,5,25,16777215,e1b3a9cc,0
2076.239,女生表示从小就爱三国,1,25,16777215,1c0d168a,0
611.945,我甘肃的，上学都是骑骆驼,1,25,16777215,b3198bac,0
2550.416,杀他没用,1,25,14811775,648f3771,0
2448.635,孟获——睡衣守护者,5,25,14811775,648f3771,0
2412.091,南蛮战争的转折点，从此统一战线,5,25,15138834,648f3771,0
2218.557,big胆，你不也受过吗,5,25,15138834,648f3771,0
2158.31,豹子头林冲,5,25,15138834,648f3771,0
2044.902,这bgm真好听,5,25,15138834,648f3771,0
183.08,第四部啦,1,25,16777215,b3198bac,0
952.021,奢侈品啊,1,25,16777215,3d31bd58,0
903.063,亮亮这个造型好好看啊,1,25,16777215,4c9029b9,0
859.736,丞相还去换了套衣服，ps.好喜欢他这个高冠,1,25,16777215,583b745a,0
612.33,四川都骑熊猫,1,25,16777215,6d0de40c,0
2225.008,刀釜手,1,25,16777215,15f79cad,0
380.641,这时候马超和赵云算是全三国最猛的两个神将，魏国确实不敢来攻,1,25,16646914,95217383,0
2490.266,凑不要脸,1,25,16777215,8bfc44db,0
1487.405,那俩人现在一股铑小子的味道那俩人现在一股铑小子的味道,1,25,16777215,9d43b100,0
641.134,讲：唐僧到哪了？,1,25,16777215,9d43b100,0
590.055,诸葛亮营地现在都还在布的阵都在，就在我们这边的村里名唤诸葛营。,1,25,16777215,95fa4610,0
419.623,丞相和大臣们跪多久了，我心疼死了，就不能让丞相他们起来在商讨吗……,1,25,16777215,98e04ad4,0
362.898,阿斗这玩意儿我真的无话可说,1,25,16777215,98e04ad4,0
2546.318,又回去吹牛p,1,25,16777215,37e18bd,0
1968.516,人家也是个上流社会，读书识字不是很正常。,1,25,16777215,cef05ca6,0
1836.056,古代想当领袖必须得识字啊，不然怎么骗人,1,25,16777215,cef05ca6,0
642.396,大王大王，外面来了个雷公脸和尚,1,25,16777215,cef05ca6,0
1571.777,在茂密树林扎营，刘备说，丞相双标了,1,25,16777215,1f0f743c,0
612.709,我是内蒙的，我出门应该不用多说了,5,25,16707842,648f3771,0
1726.101,热水澡，巴适得板,1,25,16777215,d594749a,0
1265.433,孟获脸皮有1寸,1,25,16777215,d594749a,0
1520.207,越南行为,1,25,16777215,844aa6eb,0
862.077,惊了，比自己洞里伙食还好,1,25,16777215,d594749a,0
261.276,孟获：我差点打破赵云的记录,1,25,16777215,d594749a,0
758.523,诸葛亮:别说了 我从铺地下把那一箱四川橘子拿出来咱们分了,1,25,16777215,191cdf0d,0
2314.426,范疆张达行为,1,25,16777215,d218f39b,0
2050.906,花木兰是侦察兵,1,25,16777215,d218f39b,0
1401.513,打了败仗还有粮食发，哈哈,1,25,16777215,da96b23,0
1124.96,孟获:卑鄙外乡人,1,25,16777215,da96b23,0
803.27,孟:完了，音响带过去都没打过,1,25,16777215,da96b23,0
89.119,孙权还会出场的，在诸葛亮梦里,1,25,16777215,d218f39b,0
1265.865,标记重捕法笑死我了,1,25,16777215,25f1568f,0
1343.467,还有坏百姓一说？？？,1,25,16777215,b1d38831,0
1255.672,那两超级兵有一个不是裴绪吗，现在是兵，之后升将军了,1,25,16777215,8333d8ec,0
659.356,这是？？？飞飞的声音？？？？,5,25,16646914,91da9e49,0
1703.485,前方有鸡霸,1,25,16777215,e6302c3c,0
1569.768,丞相玩火几十年了,1,25,16777215,e6302c3c,0
1211.22,我乃燕人张翼德是也,1,25,16777215,5a10a7c7,0
629.803,？？？,1,25,41194,73fe2a87,0
311.079,？？？？,1,25,41194,73fe2a87,0
1091.948,孟获，云大怒你就完了,5,25,16776960,335263aa,0
1212.947,孟获会不会跟张飞交好假如飞飞在,1,25,16777215,bcac08a0,0
1787.515,不该放了他,1,25,16777215,73403c8f,0
1643.719,求个仙儿。l,1,25,16777215,38140b55,0
482.138,阿斗没出息的脸,1,25,16777215,2b0cbd61,0
468.223,呜呜呜呜呜呜亮亮,1,25,16777215,2b0cbd61,0
399.098,阿斗扶不起,1,25,16777215,2b0cbd61,0
303.722,变这么肥了,1,25,16777215,2b0cbd61,0
2535.783,就你不服,1,25,16777215,4cbd1494,0
970.716,蜀汉黑帮,1,25,16777215,51767209,0
1729.937,下一集 蝎子精上场,1,25,16777215,5a80e5de,0
788.625,那个毛脸雷公嘴的和尚打进来了,1,25,16777215,5a80e5de,0
2525.287,《就你不服》,5,25,16707842,4e5f1263,0
970.545,魏延 赵云 马谡 马忠,1,25,16777215,741d4cb4,0
703.229,马谡,1,25,16777215,554ca6ca,0
1376.956,孔明呜呜呜个人魅力太大了,1,25,16777215,bfa0b8d0,0
1536.678,兵家大忌呀成长）,1,25,16777215,4fe59594,0
987.1,这些武将真高啊,1,25,16777215,44aa074,0
1225.509,真是董卓啊,1,25,16777215,bb26aa09,0
1059.029,李逵,1,25,16777215,bb26aa09,0
683.867,晁天王降孟大王,1,25,16777215,bb26aa09,0
290.121,这不是高球干儿子么？,1,25,16777215,bb26aa09,0
854.566,鱼子酱,1,25,16777215,9b75e6d7,0
1566.437,刘备那是800里连营。，现在我不连营不就没事了。,1,25,16777215,ef794306,0
1570.576,在丞相面前玩火攻？？？你认真的？,1,25,16777215,bbb902c,0
630.304,蛇：不要打扰我睡觉,1,25,16777215,3c5a8e7a,0
344.976,怎么一集吃胖那么多,1,25,16777215,3c5a8e7a,0
1056.091,阿牛哥,1,25,16777215,cf9932ec,0
608.893,大王，猴子请来救兵了,1,25,16777215,34f7f870,0
1725.336,一氧化碳中毒？,1,25,16777215,a9e896d0,0
2501.151,恭喜获得孟获碎片（2/7）,1,25,16777215,72f4a965,0
617.076,我四川人 出门用火锅底料滑着走,1,25,16777215,5cbcd9ca,0
418.877,丞相：你又咋回事,5,25,38979,53284281,0
2242.362,主公的尽头是袁绍,1,25,16777215,cfc554f6,0
1451.065,只有大王自己心里清楚咋回事！,1,25,38979,5ca1388c,0
1361.345,被俘了，还倒搞一袋子米！！！,1,25,38979,5ca1388c,0
1021.304,实景真漂亮,1,25,38979,5ca1388c,0
850.184,整懵逼了,1,25,38979,5ca1388c,0
578.197,还好征服了孟获 不然云南可能不是咱们的地界了,1,25,16777215,93c007f1,0
623.246,我们山东，出门都开挖掘机,1,25,16777215,49db20f0,0
2459.0,诸葛亮：当年丢荆州我也是这么想的,1,25,16777215,400a8bcb,0
2374.077,丞相：我孟获碎片还没集齐呢,1,25,16777215,400a8bcb,0
2366.687,刘备：我尸骨未寒…哦是丞相对手啊…那没事了,1,25,16777215,400a8bcb,0
1787.105,活水下毒的是什么小可爱啊,1,25,16777215,400a8bcb,0
1763.551,硫磺温泉？,1,25,16777215,400a8bcb,0
1572.102,南方那潮湿天气，又是临江，应该没事吧,1,25,16777215,400a8bcb,0
1526.155,快找只天蓝怪诱到海里,1,25,16777215,400a8bcb,0
1429.046,大王，那唐僧一行人已经到了山脚下，此时正在蜀军营地化缘,1,25,16777215,400a8bcb,0
1296.024,已获得孟获碎片（1/7）,1,25,16777215,400a8bcb,0
1219.194,不，我是孟德,1,25,16777215,400a8bcb,0
1099.223,赵子龙都成赵老龙了,1,25,16777215,400a8bcb,0
1024.243,曹操：这我熟，特别熟,1,25,16777215,400a8bcb,0
927.663,想打的打个够，愿意谈的咱就谈,1,25,16777215,400a8bcb,0
684.485,但凡他哥马良还在,1,25,16777215,400a8bcb,0
524.122,丞相要想造反，只会比司马懿篡曹要更快更容易,1,25,16777215,400a8bcb,0
473.044,丞相：换个人怕是没法除恶务尽啊,1,25,16777215,400a8bcb,0
385.24,诸葛亮：你家小领导们都搁外面努力着呢，你可长点心吧,1,25,16777215,400a8bcb,0
186.462,五月渡泸，深入不毛,1,25,16777215,400a8bcb,0
1175.62,孟获又名七擒氏,5,25,15138834,15c875f0,0
610.656,我南阳的，去上大学都用木牛流马,1,25,16777215,15c875f0,0
353.71,那你特码还斗蛐蛐,5,25,15138834,cd86a42c,0
1046.141,你怎么敢的啊。。。。。。,1,25,16707842,3ea7388b,0
1450.281,邢道荣直呼内行,1,25,15138834,c428eb23,0
1060.802,打铁,1,25,16777215,9ae1ba2c,0
1722.355,河鱼不翻肚皮么,1,25,16777215,5119ce5d,0
578.812,小时候看白面包青天没字幕，听见“七擒氏”我以为是说孟获,5,25,15138834,15c875f0,0
1452.722,吹牛逼,1,25,38979,6455afef,0
168.933,在温酒斩华雄,1,25,16777215,f0678bdb,0
849.153,菜是绿珠子和红珠子,1,25,16777215,c922e0e7,0
600.05,迟早被弹幕笑死,1,25,16777215,d99fda0d,0
607.588,我是河南人，我们不上学我们只种地,5,25,15138834,e1eb81e7,0
525.378,赵叔啊,1,25,16777215,52cce80d,0
1108.794,最终BOSS：魏文长,5,25,41194,f461a843,0
682.196,马谡,1,25,16777215,78704e94,0
682.196,马谡,1,25,16777215,78704e94,0
1545.741,似曾相识啊？？？,1,25,16776960,b645d1a9,0
1309.073,囊中取物，举手之劳,1,25,16776960,b645d1a9,0
683.028,我看到这被军令从事的就想笑,1,25,16776960,b645d1a9,0
2359.368,张达范强：这个我熟,1,25,16777215,20273561,0
2237.778,你也知道人家不杀之恩,1,25,16777215,20273561,0
2103.497,平北将军他打我南方干啥,1,25,16777215,20273561,0
1940.758,这不是挺有文化的,1,25,16777215,20273561,0
1916.201,夜间渡江,1,25,16777215,20273561,0
1626.151,偷渡是犯法的,1,25,16777215,20273561,0
1532.094,丞相再起坛做法下起大雪冰封江水,1,25,16777215,20273561,0
1519.066,通天河,1,25,16777215,20273561,0
645.733,报告大王！外面有个毛脸雷公嘴的打进来了,1,25,16777215,20273561,0
503.781,子龙已经年近七旬了,1,25,16777215,20273561,0
718.506,马谡长处是谋略而非打仗,1,25,16777215,21c6d66c,0
1483.824,这招其实不错,1,25,16777215,1adbd630,0
2580.286,费马（）,1,25,16777215,ad9b2bba,0
949.739,戴帽子的会说话,1,25,16777215,1adbd630,0
451.622,事必躬亲,1,25,16777215,1adbd630,0
380.45,马超还在,1,25,16777215,1adbd630,0
183.764,斩华雄,1,25,16777215,1adbd630,0
1937.617,金环三结：怎么结？三结吗？,1,25,16777215,86367bcc,0
1023.185,孟获：轮到我七进七出了！,1,25,16777215,86367bcc,0
1789.495,.00,1,25,16777215,c5b103b4,0
890.962,金环三结：误会？？所以搁这儿进饭三杰是你们仨？,1,25,16777215,86367bcc,0
843.623,董荼那：“还有烟抽？。”,1,25,16777215,86367bcc,0
254.034,成都：是的，只有邯郸,1,25,16777215,86367bcc,0
2416.444,不睁眼的张飞,1,25,16777215,11153bb,0
1447.559,任我行？,1,25,16777215,4a0071ed,0
7.656,深入不毛，五月渡泸,1,25,16777215,b4128859,0
1520.312,五月渡泸，深入不毛,1,25,16777215,b377a805,0
1009.666,我以为我手机卡原来大家都一样,1,25,16777215,6a03da49,0
388.312,呜呜呜呜丞相太难了,1,25,16777215,6a03da49,0
1753.273,干净又卫生,1,25,16777215,62cb8ab3,0
696.31,蜀汉保卢斯,1,25,16777215,62cb8ab3,0
